업소명,민박업소형태,주소,지방행정데이터인허가번호,지방행정데이터인허가일자,영업상태,latitude,longitude
정고운,외국인관광도시민박업,"서울특별시 성동구 한림말5길 31-7, 201호 (옥수동)",CDFI2262212025000049,2025-12-12,영업/정상(영업중),37.5440561520935,127.016404131961
원 스테이,외국인관광도시민박업,"서울특별시 광진구 천호대로132길 63, B02호 (구의동)",CDFI2262212025000079,2025-11-28,영업/정상(영업중),37.5484202686012,127.087792545242
디자인 아프리카,외국인관광도시민박업,"서울특별시 서대문구 가재울로 75-5, 201호 (남가좌동)",CDFI2262212025000111,2025-11-27,영업/정상(영업중),37.5760382825611,126.920536097706
달하우스,외국인관광도시민박업,"서울특별시 종로구 율곡로23길 7, 301호 (충신동)",CDFI2262212025000160,2025-11-27,영업/정상(영업중),37.5751624268673,127.006233307167
미미스테이,외국인관광도시민박업,"서울특별시 종로구 지봉로 97-1, 6층 (창신동)",CDFI2262212025000161,2025-11-27,영업/정상(영업중),37.5786938883305,127.015065791771
진스테이,외국인관광도시민박업,"서울특별시 강남구 강남대로124길 53, 지층1호 (논현동)",CDFI2262212025000053,2025-11-26,영업/정상(영업중),37.5103872791218,127.026186928453
스테이 쓰리,외국인관광도시민박업,"서울특별시 서대문구 신촌로9길 48, 302호 (창천동)",CDFI2262212025000123,2025-12-18,영업/정상(영업중),37.5587320155641,126.933449902803
Happy 101,외국인관광도시민박업,"서울특별시 성동구 왕십리로16길 11-8, 101호 (성수동1가)",CDFI2262212025000046,2025-11-27,영업/정상(영업중),37.5506573639488,127.045468559818
신사삼일하우스,외국인관광도시민박업,"서울특별시 강남구 도산대로4길 14, 301호 (논현동)",CDFI2262212025000075,2025-12-18,영업/정상(영업중),37.5155486980293,127.021157801504
더서울,외국인관광도시민박업,"서울특별시 관악구 신림동1길 20-6, A동 903호 (신림동)",CDFI2262212025000083,2025-12-18,영업/정상(영업중),37.4864955405369,126.928002474243
골목길 스테이 (Golmokgil Stay),외국인관광도시민박업,"서울특별시 서대문구 독립문로12나길 30-6, 1층 (천연동)",CDFI2262212025000120,2025-12-17,영업/정상(영업중),37.567296136862,126.959132967294
HOYA STAY,외국인관광도시민박업,"서울특별시 서대문구 신촌로3길 62, B02호 (창천동)",CDFI2262212025000119,2025-12-17,영업/정상(영업중),37.5603295725393,126.930478167012
등촌 Stay 48,외국인관광도시민박업,"서울특별시 강서구 공항대로53가길 48, 4층 (등촌동)",CDFI2262212025000060,2025-11-24,영업/정상(영업중),37.5554421682636,126.858988531287
블라썸,외국인관광도시민박업,"서울특별시 마포구 동교로38길 26-9, 1층 102호 (연남동)",CDFI2262212024000304,2024-10-07,영업/정상(영업중),37.5614960978919,126.925322413198
라라하우스,외국인관광도시민박업,"서울특별시 강남구 삼성로107길 28, B01호 (삼성동)",CDFI2262212025000074,2025-12-18,영업/정상(영업중),37.5110902797795,127.051747963773
초이 인 서울,외국인관광도시민박업,"서울특별시 성동구 성덕정13길 3, 102호 (성수동2가)",CDFI2262212025000045,2025-11-26,영업/정상(영업중),37.5381217613784,127.053229970424
모던스테이,외국인관광도시민박업,"서울특별시 용산구 신흥로36길 1-17, 지층 (후암동)",CDFI2262212025000111,2025-12-15,영업/정상(영업중),37.5467499695506,126.982414224666
둥 하우스 (Doong House),외국인관광도시민박업,"서울특별시 서대문구 연희로2안길 7-15, 301호 (창천동)",CDFI2262212025000121,2025-12-17,영업/정상(영업중),37.5603817640389,126.927815313843
이태원 바이브,외국인관광도시민박업,"서울특별시 용산구 이태원로17길 15-4, 1층 (이태원동)",CDFI2262212025000112,2025-12-15,영업/정상(영업중),37.5351758985821,126.991233702223
호동 스테이 서울,외국인관광도시민박업,"서울특별시 관악구 행운1길 52-7, 2층 (봉천동)",CDFI2262212024000005,2024-01-17,영업/정상(영업중),37.4812759383054,126.957175849161
우드스테이,외국인관광도시민박업,"서울특별시 광진구 아차산로22길 36, 101호 (자양동)",CDFI2262212025000081,2025-12-04,영업/정상(영업중),37.5404263154772,127.063822055609
구정하우스,외국인관광도시민박업,"서울특별시 강남구 테헤란로55길 45, A동 303호 (역삼동)",CDFI2262212025000059,2025-12-04,영업/정상(영업중),37.5067588583481,127.045214930283
휴원,외국인관광도시민박업,"서울특별시 은평구 통일로65길 26-5, B01호 (대조동, 수정빌라)",CDFI2262212025000020,2025-12-04,영업/정상(영업중),37.6093078042809,126.927897278926
와유(Wa-u),외국인관광도시민박업,"서울특별시 서대문구 홍제천로 54-70, 101호 (연희동)",CDFI2262212025000118,2025-12-17,영업/정상(영업중),37.5700821397866,126.922666199448
코지 강남 하우스,외국인관광도시민박업,"서울특별시 강남구 테헤란로55길 47, B동 501호 (역삼동)",CDFI2262212025000060,2025-12-04,영업/정상(영업중),37.5068515330821,127.045080397241
코지 해인 하우스,외국인관광도시민박업,"서울특별시 강남구 테헤란로55길 47, B동 201호 (역삼동)",CDFI2262212025000062,2025-12-04,영업/정상(영업중),37.5068515330821,127.045080397241
퓨어하우스 홍대,외국인관광도시민박업,"서울특별시 마포구 월드컵북로6길 52-9, 201호 (동교동)",CDFI2262212025000431,2025-12-03,영업/정상(영업중),37.558864458741,126.921694273381
하루스테이,외국인관광도시민박업,"서울특별시 관악구 서원10길 2, 1층 101호 (신림동, 동방주택)",CDFI2262212025000074,2025-12-05,영업/정상(영업중),37.4761148660238,126.932318193118
스테이디엠씨(StayDMC),외국인관광도시민박업,"서울특별시 은평구 수색로14길 5-5, 3층 (수색동)",CDFI2262212025000021,2025-12-04,영업/정상(영업중),37.582134801023,126.896512575642
캘리럭셔리,외국인관광도시민박업,"서울특별시 강남구 테헤란로55길 45, 402호 (역삼동)",CDFI2262212025000058,2025-12-04,영업/정상(영업중),37.5067588583481,127.045214930283
스테이루미,외국인관광도시민박업,"서울특별시 성북구 고려대로16길 4-25, B03호 (안암동3가)",CDFI2262212025000034,2025-12-05,영업/정상(영업중),37.586013997714,127.023879942367
홈바이보니(Home by Boni),외국인관광도시민박업,"서울특별시 광진구 자양로38길 47-11, B02호 (구의동)",CDFI2262212025000082,2025-12-04,영업/정상(영업중),37.5470233528969,127.091015531002
슬로우 케이,외국인관광도시민박업,"서울특별시 관악구 봉천로19길 25, 202호 (봉천동)",CDFI2262212025000075,2025-12-05,영업/정상(영업중),37.4883915145833,126.933668393529
강남팰리스,외국인관광도시민박업,"서울특별시 강남구 봉은사로48길 50-2, 203호 (역삼동)",CDFI2262212025000057,2025-12-04,영업/정상(영업중),37.5066479957565,127.043151134281
트라이앵글하우스,외국인관광도시민박업,"서울특별시 구로구 경인로27길 30-1, 302호 (오류동, 삼원그린빌)",CDFI2262212025000021,2025-12-05,영업/정상(영업중),37.4976023112313,126.843951540537
아리아 스테이 (Aria Stay),외국인관광도시민박업,"서울특별시 서대문구 북아현로 80-6, B01호 (북아현동)",CDFI2262212025000112,2025-12-04,영업/정상(영업중),37.5641689381677,126.954166125953
리틀 포레스트,외국인관광도시민박업,"서울특별시 성동구 성수이로5길 12-1, 101호 (성수동2가)",CDFI2262212025000027,2025-07-22,영업/정상(영업중),37.5373310066002,127.053311891736
스페이스 파인,외국인관광도시민박업,"서울특별시 동대문구 제기로 148, 3~4층 (청량리동)",CDFI2262212025000006,2025-04-17,영업/정상(영업중),37.5857713135154,127.04952889248
햇살가득한 집,외국인관광도시민박업,"서울특별시 관악구 봉천로13다길 17, 301호 (봉천동)",CDFI2262212025000076,2025-12-05,영업/정상(영업중),37.4910746690846,126.932473972183
헤이븐스테이,외국인관광도시민박업,"서울특별시 서초구 효령로21길 20, B102호 (방배동)",CDFI2262212025000016,2025-12-05,영업/정상(영업중),37.4808906207802,126.992495701445
아늑스테이,외국인관광도시민박업,"서울특별시 광진구 능동로50길 9-4, 102호 (중곡동)",CDFI2262212025000083,2025-12-05,영업/정상(영업중),37.5641448900291,127.084125303523
코지 유진 하우스,외국인관광도시민박업,"서울특별시 강남구 테헤란로55길 47, B동 503호 (역삼동)",CDFI2262212025000061,2025-12-04,영업/정상(영업중),37.5068515330821,127.045080397241
트위요,외국인관광도시민박업,"서울특별시 은평구 갈현로3다길 2, 지층호 (신사동)",CDFI2262212025000022,2025-12-05,영업/정상(영업중),37.6007682285191,126.905784160271
Dawn Stay,외국인관광도시민박업,"서울특별시 강서구 공항대로65길 32, B01호 (염창동, 희망주택)",CDFI2262212025000063,2025-12-04,영업/정상(영업중),37.5501172987421,126.868861138499
결 (Gyeol),외국인관광도시민박업,"서울특별시 서대문구 북아현로 80-6, B02호 (북아현동)",CDFI2262212025000113,2025-12-04,영업/정상(영업중),37.5641689381677,126.954166125953
Pumpkin Stay,외국인관광도시민박업,"서울특별시 동작구 사당로29길 34-4, 102호 (사당동)",CDFI2262212025000023,2025-12-02,영업/정상(영업중),37.4858712295124,126.978112913035
어빈 스테이,외국인관광도시민박업,"서울특별시 강동구 동남로82길 101, 301호 (고덕동)",CDFI2262212025000084,2025-12-01,영업/정상(영업중),37.5604955301618,127.162636617999
OK Hannam House,외국인관광도시민박업,"서울특별시 용산구 한남대로42가길 7, 3층 (한남동)",CDFI2262212025000102,2025-12-03,영업/정상(영업중),37.54317599662,127.002540212255
스테이우아망원,외국인관광도시민박업,"서울특별시 마포구 월드컵로31길 83-8, 1층 102호 (망원동)",CDFI2262212025000426,2025-11-28,영업/정상(영업중),37.5596719830947,126.90057386748
다움스테이,외국인관광도시민박업,"서울특별시 강남구 언주로79길 18-7, B101호 (역삼동)",CDFI2262212025000055,2025-11-28,영업/정상(영업중),37.4994409482434,127.042135746905
해온 스테이 해방촌,외국인관광도시민박업,"서울특별시 용산구 신흥로11길 15, 103호 (용산동2가)",CDFI2262212025000100,2025-12-02,영업/정상(영업중),37.5434905388829,126.986737408884
