업소명,민박업소형태,주소,지방행정데이터인허가번호,지방행정데이터인허가일자,영업상태
아리아하우스,외국인관광도시민박업,"[157855] 서울특별시 강서구 방화대로37길 26, 102동 1101호 (방화동, 방화현대아파트)",CDFI3261142012000002,2012-12-11,영업/정상(영업중)
파파스테이(PAPA Stay),외국인관광도시민박업,"[157210] 서울특별시 강서구 양천로47길 94, 101동 1104호 (마곡동, 마곡금호어울림아파트)",CDFI3261142014000001,2014-03-19,영업/정상(영업중)
나인가든,외국인관광도시민박업,"서울특별시 양천구 목동중앙남로16다길 5-14, 3층 (목동)",CDFI2262212026000006,2026-03-10,영업/정상(영업중)
선 스테이 창경,외국인관광도시민박업,"서울특별시 종로구 성균관로1길 12, 101호 (명륜3가)",CDFI2262212026000026,2026-03-09,영업/정상(영업중)
혜화 갤러리 아트,외국인관광도시민박업,"서울특별시 종로구 성균관로 62-11, 102호 (명륜1가)",CDFI2262212026000025,2026-03-09,영업/정상(영업중)
스테이 지음,외국인관광도시민박업,"서울특별시 강서구 공항대로8가길 2-16, B01호 (공항동)",CDFI2262212026000021,2026-03-10,영업/정상(영업중)
디얼 성수,외국인관광도시민박업,"서울특별시 성동구 성수이로5길 6-1, 3층 (성수동2가)",CDFI2262212026000021,2026-03-09,영업/정상(영업중)
일상고요,외국인관광도시민박업,"서울특별시 중구 다산로33길 61-3, 1층 (신당동)",CDFI2262212026000024,2026-03-09,영업/정상(영업중)
메모리스테이 연남2호점,외국인관광도시민박업,"서울특별시 마포구 연남로7길 26, 1층 102호 (연남동)",CDFI2262212026000122,2026-03-04,영업/정상(영업중)
다솜하우스,외국인관광도시민박업,"서울특별시 강서구 강서로68길 108, 102동 503호 (등촌동, 동성아파트)",CDFI3261142012000003,2012-12-24,영업/정상(영업중)
경화 더하우스,외국인관광도시민박업,"서울특별시 은평구 갈현로36길 8, 401호 (갈현동, 경화주택)",CDFI2262212026000021,2026-03-09,영업/정상(영업중)
해피하우스,외국인관광도시민박업,"[157839] 서울특별시 강서구 양천로62길 41, 201동 1408호 (등촌동)",CDFI3261142013000002,2013-02-21,영업/정상(영업중)
명륜 홈스테이,외국인관광도시민박업,"서울특별시 종로구 명륜2길 40-18, 301호 (명륜3가)",CDFI2262212026000023,2026-03-09,영업/정상(영업중)
스테이 담소,외국인관광도시민박업,"서울특별시 강동구 양재대로95길 29, 5층 501호 (성내동)",CDFI2262212026000017,2026-03-10,영업/정상(영업중)
김사장 하우스-DDM,외국인관광도시민박업,"서울특별시 동대문구 천호대로24길 38, B101호 (용두동)",CDFI2262212026000010,2026-03-10,영업/정상(영업중)
유오스테이,외국인관광도시민박업,"서울특별시 강서구 공항대로65가길 19-1, 102동 302호 (염창동, 리치웰강서)",CDFI2262212026000020,2026-03-10,영업/정상(영업중)
제이씨하우스(JC House),외국인관광도시민박업,"[157851] 서울특별시 강서구 금낭화로7길 32, 5층 (방화동)",CDFI3261142015000001,2015-03-04,영업/정상(영업중)
에어포트 스테이 서울,외국인관광도시민박업,"서울특별시 강서구 남부순환로11가길 100, B01호 (공항동)",CDFI2262212026000019,2026-03-10,영업/정상(영업중)
stay 다온,외국인관광도시민박업,"서울특별시 강동구 올림픽로62길 9-14, 8층 803호 (성내동)",CDFI2262212026000015,2026-03-09,영업/정상(영업중)
로뎀하우스,외국인관광도시민박업,[157015] 서울특별시 강서구 강서로45다길 25 (화곡동),CDFI3261142012000001,2012-12-07,영업/정상(영업중)
명륜2길 HOME,외국인관광도시민박업,"서울특별시 종로구 명륜2길 40-18, 101호 (명륜3가)",CDFI2262212026000024,2026-03-09,영업/정상(영업중)
더심플하우스,외국인관광도시민박업,"[157811] 서울특별시 강서구 공항대로5길 34, 3층 (공항동)",CDFI3261142014000005,2014-08-14,영업/정상(영업중)
아삼스테이,외국인관광도시민박업,"서울특별시 용산구 소월로30길 13, 101호 (용산동2가)",CDFI2262212026000038,2026-03-06,영업/정상(영업중)
자갈스테이 성내,외국인관광도시민박업,"서울특별시 강동구 올림픽로62길 9-14, 7층 701호 (성내동)",CDFI2262212026000016,2026-03-10,영업/정상(영업중)
로우 하우스,외국인관광도시민박업,"서울특별시 용산구 보광로51길 6-4, 2층 (이태원동)",CDFI2262212026000039,2026-03-06,영업/정상(영업중)
잠시스테이,외국인관광도시민박업,"서울특별시 송파구 올림픽로32길 22-10, 2층 201호 (방이동)",CDFI2262212026000025,2026-03-09,영업/정상(영업중)
더코지코너,외국인관광도시민박업,"서울특별시 강남구 봉은사로24길 20, B102호 (역삼동)",CDFI2262212026000084,2026-03-10,영업/정상(영업중)
숨 스테이,외국인관광도시민박업,"서울특별시 강동구 성안로27길 4-5, 2층 203호 (천호동)",CDFI2262212026000018,2026-03-10,영업/정상(영업중)
서계스테이,외국인관광도시민박업,"서울특별시 용산구 청파로77길 38, 101호 (서계동)",CDFI2262212026000041,2026-03-06,영업/정상(영업중)
시크릿가든 이태원,외국인관광도시민박업,"서울특별시 용산구 녹사평대로26나길 18, 1층 (이태원동)",CDFI2262212026000040,2026-03-06,영업/정상(영업중)
더나루 B&B,외국인관광도시민박업,"[157240] 서울특별시 강서구 공항대로13길 19, 2,3층 (공항동)",CDFI3261142015000004,2015-06-15,영업/정상(영업중)
샤론,외국인관광도시민박업,"[157839] 서울특별시 강서구 화곡로68길 115, 102동 1206호 (등촌동, 등촌우성아파트)",CDFI3261142013000006,2013-10-22,영업/정상(영업중)
체라스코지서울(cera's cosy seoul),외국인관광도시민박업,"서울특별시 강서구 방화동로12나길 26, 1층층 (방화동)",CDFI3261142016000001,2016-01-05,영업/정상(영업중)
블루스테이(Blue Stay),외국인관광도시민박업,"서울특별시 강서구 등촌로13나길 13, 202호 (화곡동, 에코캐슬)",CDFI3261142015000005,2015-11-11,영업/정상(영업중)
秀家(수가),외국인관광도시민박업,"[157010] 서울특별시 강서구 우현로 67, 130동 1501호 (화곡동, 강서힐스테이트)",CDFI3261142015000002,2015-04-02,영업/정상(영업중)
마나룸,외국인관광도시민박업,"서울특별시 관악구 신림로70길 62-6, B02호 (신림동)",CDFI2262212026000056,2026-03-10,영업/정상(영업중)
연희포레스트 그린,외국인관광도시민박업,"서울특별시 서대문구 연희로15길 5, 403호 (연희동)",CDFI2262212026000047,2026-03-11,영업/정상(영업중)
리 스테이,외국인관광도시민박업,"서울특별시 구로구 안양천로537다길 32, 201호 (고척동)",CDFI2262212026000011,2026-02-13,영업/정상(영업중)
스테이마루,외국인관광도시민박업,"서울특별시 송파구 오금로23길 8-3, 203호 (방이동)",CDFI2262212026000026,2026-03-11,영업/정상(영업중)
제뉴어리 연희,외국인관광도시민박업,"서울특별시 서대문구 연희로15길 5, 303호 (연희동)",CDFI2262212026000046,2026-03-11,영업/정상(영업중)
스테이 고척101,외국인관광도시민박업,"서울특별시 구로구 중앙로14나길 6-21, 101호 (고척동)",CDFI2262212026000016,2026-03-11,영업/정상(영업중)
스테이온기,외국인관광도시민박업,"서울특별시 송파구 백제고분로44길 21-1, 대중빌라 102호 (송파동)",CDFI2262212026000027,2026-03-11,영업/정상(영업중)
로데오 원 스테이,외국인관광도시민박업,"서울특별시 강남구 언주로153길 10-13, B02호 (신사동)",CDFI2262212026000086,2026-03-11,영업/정상(영업중)
홍대 스테이유,외국인관광도시민박업,"서울특별시 마포구 동교로32길 9, 지층 101호 (연남동)",CDFI2262212026000062,2026-02-13,영업/정상(영업중)
마루온,외국인관광도시민박업,"서울특별시 마포구 망원로7길 44-7, 1층 (망원동)",CDFI2262212026000061,2026-02-13,영업/정상(영업중)
쁘띠맨숀47,외국인관광도시민박업,"서울특별시 마포구 독막로 47, 2층 (합정동)",CDFI2262212026000148,2026-03-12,영업/정상(영업중)
Global Haven,외국인관광도시민박업,"서울특별시 용산구 후암로57길 37-3, 1층 (동자동)",CDFI2262212026000048,2026-03-12,영업/정상(영업중)
동대문 스테이,외국인관광도시민박업,"서울특별시 동대문구 안암로20가길 8, 3층 (제기동)",CDFI2262212026000012,2026-03-11,영업/정상(영업중)
썬스테이앤코,외국인관광도시민박업,"서울특별시 구로구 공원로8길 45, 3층 (구로동)",CDFI2262212026000014,2026-03-06,영업/정상(영업중)
이태원 서울역 사이,외국인관광도시민박업,"서울특별시 용산구 두텁바위로47길 25, 1층 (후암동)",CDFI2262212026000046,2026-03-12,영업/정상(영업중)
호호 하우스(hoho house),외국인관광도시민박업,"서울특별시 성동구 용답29길 50-11, 202호 (용답동)",CDFI2262212026000022,2026-03-11,영업/정상(영업중)
송정 자미앤(ZAMI&),외국인관광도시민박업,"서울특별시 성동구 동일로43나길 19, 102호 (송정동)",CDFI2262212026000023,2026-03-11,영업/정상(영업중)
Dalgonastay M,외국인관광도시민박업,"서울특별시 마포구 월드컵로25길 45, 1층 101호 (망원동)",CDFI2262212026000067,2026-02-13,영업/정상(영업중)
JUNI STAY DMC,외국인관광도시민박업,"서울특별시 마포구 매봉산로2길 81, 5층 502호 (상암동)",CDFI2262212026000063,2026-02-13,영업/정상(영업중)
송버드 스테이,외국인관광도시민박업,"서울특별시 마포구 와우산로5길 54, 202호 (상수동)",CDFI2262212026000069,2026-02-13,영업/정상(영업중)
작전명 행복,외국인관광도시민박업,"서울특별시 마포구 연희로1길 55-6, 3층 (연남동)",CDFI2262212026000068,2026-02-13,영업/정상(영업중)
파라솔스테이,외국인관광도시민박업,"서울특별시 마포구 양화진4길 4-4, 지층 (합정동)",CDFI2262212026000065,2026-02-13,영업/정상(영업중)
아이엠 하우스,외국인관광도시민박업,"서울특별시 관악구 봉천로55길 11, 2층 (봉천동)",CDFI2262212023000002,2023-05-12,영업/정상(영업중)
루비브릭 스테이,외국인관광도시민박업,서울특별시 서대문구 성산로18길 23 (연희동),CDFI2262212026000029,2026-02-13,영업/정상(영업중)
nesty home,외국인관광도시민박업,"서울특별시 광진구 능동로13길 78-4, 201호 (화양동)",CDFI2262212026000036,2026-03-06,영업/정상(영업중)
더 클래식,외국인관광도시민박업,"서울특별시 서대문구 홍연2길 16, 202호 (연희동, 더클래식 하우스)",CDFI2262212026000030,2026-02-13,영업/정상(영업중)
원스테이,외국인관광도시민박업,"서울특별시 송파구 오금로23길 8-3, 201호 (방이동)",CDFI2262212026000024,2026-03-06,영업/정상(영업중)
민스테이2,외국인관광도시민박업,"서울특별시 마포구 월드컵북로8길 23, 502호 (연남동)",CDFI2262212022000027,2022-04-14,영업/정상(영업중)
홍홈,외국인관광도시민박업,"서울특별시 마포구 동교로27길 44-10, 지층 102호 (연남동)",CDFI2262212026000066,2026-02-13,영업/정상(영업중)
다올,외국인관광도시민박업,"서울특별시 은평구 연서로29길 25-7, 2층 (갈현동)",CDFI2262212026000017,2026-03-03,영업/정상(영업중)
더 화곡 스테이(The Hwagok Stay),외국인관광도시민박업,"서울특별시 강서구 화곡로31가길 28, 201호 (화곡동)",CDFI2262212026000018,2026-03-06,영업/정상(영업중)
민스테이1,외국인관광도시민박업,"서울특별시 마포구 월드컵북로8길 23, 501호 (연남동)",CDFI2262212022000023,2022-04-04,영업/정상(영업중)
우니스테이,외국인관광도시민박업,"서울특별시 서대문구 연희로2길 40, 202호 (창천동)",CDFI2262212026000041,2026-03-06,영업/정상(영업중)
"Haru Stay, DMC",외국인관광도시민박업,"서울특별시 마포구 성암로15길 7-1, 3층 (상암동)",CDFI2262212024000159,2024-07-09,영업/정상(영업중)
블루브릭스 송파,외국인관광도시민박업,"서울특별시 송파구 동남로23길 40-27, 601호 (오금동)",CDFI2262212026000023,2026-03-06,영업/정상(영업중)
봄봄 하우스,외국인관광도시민박업,"서울특별시 서대문구 불광천길 264-1, 201호 (북가좌동)",CDFI2262212026000040,2026-03-06,영업/정상(영업중)
하늘온,외국인관광도시민박업,"서울특별시 마포구 망원로7길 44-7, 2층 (망원동)",CDFI2262212026000064,2026-02-13,영업/정상(영업중)
잠실의 하루,외국인관광도시민박업,"서울특별시 송파구 석촌호수로12길 49, 102호 (잠실동)",CDFI2262212023000024,2023-12-12,영업/정상(영업중)
Maji's house,외국인관광도시민박업,"서울특별시 용산구 이태원로15길 33, 지층 102호 (이태원동, 운산빌라)",CDFI2262212016000016,2016-07-04,영업/정상(영업중)
Moon Stay,외국인관광도시민박업,"서울특별시 강동구 상암로5길 28, 101호 (암사동)",CDFI2262212024000015,2024-05-14,영업/정상(영업중)
공감나눔NO.1,외국인관광도시민박업,"서울특별시 강서구 방화대로5다길 34-6, 2층 (공항동)",CDFI2262212026000017,2026-02-27,영업/정상(영업중)
메종 후암,외국인관광도시민박업,"서울특별시 용산구 후암로4길 14-5, 301호 (후암동)",CDFI2262212026000035,2026-02-23,영업/정상(영업중)
for:rest 잠실,외국인관광도시민박업,"서울특별시 송파구 가락로21길 61-1, 동현빌라 203호 (송파동)",CDFI2262212024000002,2024-01-19,영업/정상(영업중)
미담 스테이,외국인관광도시민박업,"서울특별시 서대문구 세무서1길 7, 301호 (홍제동)",CDFI2262212026000038,2026-02-27,영업/정상(영업중)
포근,외국인관광도시민박업,"서울특별시 강동구 구천면로34길 52, 에덴빌32차 302호 (천호동)",CDFI2262212024000007,2024-03-29,영업/정상(영업중)
달마을스테이 102,외국인관광도시민박업,"서울특별시 양천구 목동중앙본로27길 33-1, 1층 (목동)",CDFI2262212026000005,2026-02-24,영업/정상(영업중)
SM HOUSE(SMILE MAKE),외국인관광도시민박업,"서울특별시 강남구 테헤란로21길 25, 태림빌딩 4층 (역삼동)",CDFI2262212026000077,2026-02-27,영업/정상(영업중)
어거스트 가든,외국인관광도시민박업,서울특별시 서대문구 간호대로4길 14-7 (홍제동),CDFI2262212026000037,2026-02-27,영업/정상(영업중)
스테이 산 (Stay SAN),외국인관광도시민박업,"서울특별시 관악구 약수암길 1-8, 307동 1305호 (신림동)",CDFI2262212026000050,2026-02-24,영업/정상(영업중)
우드 그린 하우스,외국인관광도시민박업,"서울특별시 용산구 회나무로10길 5-8, 1층 (이태원동)",CDFI2262212026000036,2026-02-25,영업/정상(영업중)
네스트 인 망원 3,외국인관광도시민박업,"서울특별시 마포구 성미산로3가길 9, 3층 (성산동)",CDFI2262212026000109,2026-02-27,영업/정상(영업중)
키치하우스,외국인관광도시민박업,"서울특별시 서대문구 이화여대7길 20-5, 3층 (대현동)",CDFI2262212026000035,2026-02-24,영업/정상(영업중)
Casa-Golden,외국인관광도시민박업,"서울특별시 서대문구 신촌로3가길 16, 802호 (창천동)",CDFI2262212026000034,2026-02-24,영업/정상(영업중)
남산 203,외국인관광도시민박업,"서울특별시 중구 퇴계로6길 46-5, 2층 (남창동)",CDFI2262212026000017,2026-02-24,영업/정상(영업중)
남산 203 게스트하우스,외국인관광도시민박업,"서울특별시 중구 퇴계로6길 46-5, 1층 (남창동)",CDFI2262212026000016,2026-02-24,영업/정상(영업중)
모아라 스테이,외국인관광도시민박업,"서울특별시 서대문구 신촌로3나길 15-6, B102호 (창천동)",CDFI2262212026000036,2026-02-24,영업/정상(영업중)
유스스페이스,외국인관광도시민박업,"서울특별시 마포구 잔다리로6길 26, 5층 502호 (서교동, 디자인텔)",CDFI2262212025000298,2025-07-31,영업/정상(영업중)
감길스테이,외국인관광도시민박업,서울특별시 서대문구 수색로8가길 29 (북가좌동),CDFI2262212026000033,2026-02-20,영업/정상(영업중)
스테이 블루,외국인관광도시민박업,"서울특별시 마포구 신촌로10길 35, 101호 (동교동)",CDFI2262212026000088,2026-02-23,영업/정상(영업중)
헤븐리스테이서울,외국인관광도시민박업,"서울특별시 송파구 백제고분로44길 21-1, 대중빌라 지하1층 B02호 (송파동)",CDFI2262212026000019,2026-02-19,영업/정상(영업중)
아늑,외국인관광도시민박업,"서울특별시 용산구 이태원로23길 25-2, 102호 (이태원동)",CDFI2262212026000031,2026-02-20,영업/정상(영업중)
한양힐링하우스,외국인관광도시민박업,서울특별시 관악구 남부순환로231길 46-5 (봉천동),CDFI2262212024000085,2024-08-13,영업/정상(영업중)
시스테이,외국인관광도시민박업,"서울특별시 강남구 언주로114길 29-12, B01호 (논현동)",CDFI2262212026000070,2026-02-20,영업/정상(영업중)
마포유영,외국인관광도시민박업,"서울특별시 마포구 광성로4길 18-12, 102호 (신수동)",CDFI2262212026000134,2026-03-09,영업/정상(영업중)
하리스 스테이,외국인관광도시민박업,"서울특별시 마포구 독막로29길 38-5, 101호 (신수동)",CDFI2262212026000086,2026-02-20,영업/정상(영업중)
썬치즈스테이,외국인관광도시민박업,서울특별시 동대문구 답십리로40길 3-17 (답십리동),CDFI2262212026000005,2026-02-21,영업/정상(영업중)
플라워니 스테이,외국인관광도시민박업,"서울특별시 종로구 낙산3길 19-7, 2층 202호 (동숭동)",CDFI2262212025000079,2025-06-27,영업/정상(영업중)
스마일 하우스,외국인관광도시민박업,"서울특별시 마포구 월드컵북로48길 33-5, 1층 1호 (상암동)",CDFI2262212023000113,2023-08-25,영업/정상(영업중)
홍제Min스테이,외국인관광도시민박업,서울특별시 서대문구 홍제내4길 4-9 (홍제동),CDFI2262212026000032,2026-02-20,영업/정상(영업중)
윤지스테이,외국인관광도시민박업,"서울특별시 송파구 송파대로43길 23, 3층 303호 (석촌동)",CDFI2262212026000020,2026-02-20,영업/정상(영업중)
스테이 에이치,외국인관광도시민박업,"서울특별시 마포구 서강로11길 28, 2층 (창전동)",CDFI2262212026000133,2026-03-09,영업/정상(영업중)
메모리 조선,외국인관광도시민박업,"서울특별시 마포구 동교로30길 9, 4층 (동교동)",CDFI2262212026000132,2026-03-09,영업/정상(영업중)
온 스테이 24,외국인관광도시민박업,"서울특별시 마포구 와우산로26길 58, 201호 (창전동, 살롬하우스)",CDFI2262212026000130,2026-03-09,영업/정상(영업중)
제이와이스테이 2,외국인관광도시민박업,"서울특별시 마포구 성미산로11길 117, 202호 (성산동)",CDFI2262212026000147,2026-03-11,영업/정상(영업중)
홍대플레이하우스,외국인관광도시민박업,"서울특별시 서대문구 신촌로3나길 24, 502호 (창천동)",CDFI2262212026000031,2026-02-20,영업/정상(영업중)
79스테이,외국인관광도시민박업,"서울특별시 동대문구 제기로20길 17, 3층 (제기동)",CDFI2262212026000006,2026-02-21,영업/정상(영업중)
번역가의 방,외국인관광도시민박업,"서울특별시 마포구 모래내로7길 74-5, 102호 (성산동)",CDFI2262212026000128,2026-03-09,영업/정상(영업중)
다온하우스M,외국인관광도시민박업,"서울특별시 마포구 포은로8길 25, 2층 (망원동)",CDFI2262212026000091,2026-02-24,영업/정상(영업중)
고즈넉,외국인관광도시민박업,"서울특별시 성북구 성북로6가길 10, B02호 (성북동, 화영빌라)",CDFI2262212026000013,2026-02-19,영업/정상(영업중)
스테이문 상수,외국인관광도시민박업,"서울특별시 마포구 와우산로 8-7, 1층 (상수동)",CDFI2262212026000131,2026-03-09,영업/정상(영업중)
체크 포인트 홍대,외국인관광도시민박업,"서울특별시 마포구 와우산로26길 58, 401호 (창전동, 살롬하우스)",CDFI2262212026000129,2026-03-09,영업/정상(영업중)
히든 잼 동묘,외국인관광도시민박업,"서울특별시 종로구 지봉로8길 1-10, 101호 (숭인동)",CDFI2262212026000027,2026-03-11,영업/정상(영업중)
어반 헤이븐,외국인관광도시민박업,"서울특별시 서대문구 신촌로3나길 8-10, 303호 (창천동, 창천네오빌)",CDFI2262212026000043,2026-03-10,영업/정상(영업중)
창신마루,외국인관광도시민박업,서울특별시 종로구 창신12길 49-20 (창신동),CDFI2262212024000048,2024-09-02,영업/정상(영업중)
리버사이드,외국인관광도시민박업,서울특별시 강서구 개화동로11길 19-8 (개화동),CDFI3261142016000005,2016-04-05,영업/정상(영업중)
온 스테이,외국인관광도시민박업,"서울특별시 동대문구 고산자로 516-1, 302호 (제기동)",CDFI2262212024000023,2024-08-07,영업/정상(영업중)
파라다이스,외국인관광도시민박업,"서울특별시 마포구 토정로2길 11, 202호 (합정동)",CDFI2262212024000205,2024-08-05,영업/정상(영업중)
스테이 눅,외국인관광도시민박업,"서울특별시 서대문구 통일로9길 6-14, 2층 (냉천동)",CDFI2262212026000044,2026-03-10,영업/정상(영업중)
망고스틴 3호,외국인관광도시민박업,"서울특별시 강서구 화곡로35길 23-5, 3호 (화곡동, 망고스틴)",CDFI3261142016000003,2016-01-11,영업/정상(영업중)
메모리메종 동교점,외국인관광도시민박업,"서울특별시 마포구 동교로30길 9, 3층 (동교동)",CDFI2262212026000140,2026-03-10,영업/정상(영업중)
Comfy & Cozy,외국인관광도시민박업,"서울특별시 마포구 홍익로5안길 20, 재강빌딩 4~5층 (서교동)",CDFI2262212026000082,2026-02-19,영업/정상(영업중)
더 모먼트,외국인관광도시민박업,"서울특별시 마포구 와우산로3안길 7, 301호 (상수동, 석진하우징)",CDFI2262212024000421,2024-11-26,영업/정상(영업중)
Casa Choi(최가네 집),외국인관광도시민박업,"서울특별시 도봉구 덕릉로59길 93, 4층 (창동)",CDFI2262212024000004,2024-11-05,영업/정상(영업중)
망고스틴 2호,외국인관광도시민박업,"서울특별시 강서구 화곡로35길 23-5, 2호 (화곡동, 망고스틴)",CDFI3261142016000002,2016-01-11,영업/정상(영업중)
뉴봄스테이,외국인관광도시민박업,"서울특별시 서대문구 신촌로3가길 16, 702호 (창천동)",CDFI2262212025000024,2025-02-28,영업/정상(영업중)
스테이 누아,외국인관광도시민박업,"서울특별시 서대문구 연세로12길 20, 우석빌딩 402호 (창천동)",CDFI2262212025000027,2025-03-17,영업/정상(영업중)
모노성수,외국인관광도시민박업,서울특별시 성동구 둘레23길 14-19 (성수동2가),CDFI2262212025000051,2025-12-16,영업/정상(영업중)
Pineville Room A.B.C,외국인관광도시민박업,"서울특별시 강서구 강서로 532, 109동 304호 (가양동, 대아아파트)",CDFI3261142016000004,2016-01-20,영업/정상(영업중)
송스테이 연트럴파크,외국인관광도시민박업,"서울특별시 마포구 성미산로19길 29, 3층 303호 (연남동)",CDFI2262212025000227,2025-05-16,영업/정상(영업중)
TOM House,외국인관광도시민박업,"서울특별시 관악구 호암로22길 56-4, B02호 (신림동)",CDFI2262212024000094,2024-08-27,영업/정상(영업중)
나미나스테이,외국인관광도시민박업,"서울특별시 영등포구 영등포로43가길 6-1, 3층 (영등포동5가)",CDFI2262212024000025,2024-12-13,영업/정상(영업중)
스테이드림,외국인관광도시민박업,"서울특별시 송파구 삼학사로8길 26, B02호 (석촌동)",CDFI2262212025000094,2025-12-02,영업/정상(영업중)
가온,외국인관광도시민박업,"서울특별시 용산구 회나무로28길 21, 1층 (이태원동)",CDFI2262212026000006,2026-01-12,영업/정상(영업중)
소울 스테이 아틀리에 영등포,외국인관광도시민박업,"서울특별시 영등포구 당산로32길 8-2, 3층 (당산동3가)",CDFI2262212026000017,2026-03-09,영업/정상(영업중)
YH STAY,외국인관광도시민박업,"서울특별시 성동구 왕십리로33길 9, 3층 (하왕십리동)",CDFI2262212024000078,2024-12-30,영업/정상(영업중)
스테이 로라,외국인관광도시민박업,"서울특별시 영등포구 당산로18길 11-1, 201호 (당산동1가)",CDFI2262212026000016,2026-03-09,영업/정상(영업중)
후암3쉐어하우스,외국인관광도시민박업,서울특별시 용산구 한강대로102다길 45-3 (후암동),CDFI2262212026000042,2026-03-09,영업/정상(영업중)
cozy stay,외국인관광도시민박업,"서울특별시 광진구 아차산로22길 38, 102호 (자양동)",CDFI2262212024000006,2024-03-18,영업/정상(영업중)
LUMINA,외국인관광도시민박업,"서울특별시 마포구 월드컵로11길 72, 4층 401호 (망원동)",CDFI2262212026000108,2026-02-26,영업/정상(영업중)
스테이 에스제이,외국인관광도시민박업,"서울특별시 마포구 신촌로2안길 42, 위저드 빌 II 2층 (동교동)",CDFI2262212026000098,2026-02-25,영업/정상(영업중)
아몬드 스태이,외국인관광도시민박업,"서울특별시 마포구 양화로6길 99-3, 2층 (서교동)",CDFI2262212026000097,2026-02-25,영업/정상(영업중)
스테이코리아,외국인관광도시민박업,"서울특별시 마포구 월드컵로5길 52, 2층 201호 (합정동)",CDFI2262212026000126,2026-03-09,영업/정상(영업중)
라일락 홍대,외국인관광도시민박업,"서울특별시 마포구 동교로19길 76, 302호 (성산동)",CDFI2262212024000415,2024-11-26,영업/정상(영업중)
써니즈 하우스,외국인관광도시민박업,"서울특별시 마포구 신촌로24길 16-10, 2층 (노고산동)",CDFI2262212026000096,2026-02-25,영업/정상(영업중)
스테이어 합정,외국인관광도시민박업,"서울특별시 마포구 동교로 44-6, 지층 101호 (합정동)",CDFI2262212026000107,2026-02-26,영업/정상(영업중)
스테이코리아2,외국인관광도시민박업,"서울특별시 마포구 월드컵로5길 52, 2층 202호 (합정동)",CDFI2262212026000127,2026-03-09,영업/정상(영업중)
소울 오브 서울,외국인관광도시민박업,"서울특별시 은평구 갈현로45길 30, 1층 나호 (갈현동)",CDFI2262212026000014,2026-02-25,영업/정상(영업중)
우즈맨션,외국인관광도시민박업,"서울특별시 마포구 와우산로 8-9, B01호 (상수동)",CDFI2262212026000099,2026-02-25,영업/정상(영업중)
비파인,외국인관광도시민박업,"서울특별시 구로구 도림로12길 15-3, 301호 (구로동)",CDFI2262212026000006,2026-02-09,영업/정상(영업중)
클로이 게스트하우스,외국인관광도시민박업,"서울특별시 구로구 구로동로50길 34-2, 101호 (구로동)",CDFI2262212026000007,2026-02-09,영업/정상(영업중)
BTS Guest house,외국인관광도시민박업,"서울특별시 마포구 잔다리로9길 3, 301호 (서교동, 수정빌라)",CDFI2262212026000100,2026-02-25,영업/정상(영업중)
Stay Woonie,외국인관광도시민박업,"서울특별시 관악구 은천로9길 14, 202호 (봉천동)",CDFI2262212024000013,2024-03-05,영업/정상(영업중)
누리,외국인관광도시민박업,"서울특별시 광진구 구의로1길 21, B102호 (구의동)",CDFI2262212025000037,2025-06-02,영업/정상(영업중)
스테이 서온,외국인관광도시민박업,"서울특별시 마포구 양화로1길 71-7, 2층 301호 (합정동)",CDFI2262212026000039,2026-01-29,영업/정상(영업중)
파크엔드스테이,외국인관광도시민박업,"서울특별시 마포구 동교로51길 117-4, 2층 201호 (연남동)",CDFI2262212026000093,2026-02-25,영업/정상(영업중)
석촌다락,외국인관광도시민박업,"서울특별시 송파구 가락로23길 14-27, 202호 (송파동)",CDFI2262212026000013,2026-02-04,영업/정상(영업중)
Leaf Stay,외국인관광도시민박업,"서울특별시 관악구 조원로 162-1, B01호 (신림동)",CDFI2262212026000038,2026-02-09,영업/정상(영업중)
홍대 가(家)스테이,외국인관광도시민박업,"서울특별시 마포구 와우산로 144-10, B1호 (창전동, 삼익빌라)",CDFI2262212026000101,2026-02-25,영업/정상(영업중)
온유,외국인관광도시민박업,"서울특별시 송파구 삼학사로4길 27, B01호 (석촌동)",CDFI2262212025000063,2025-09-23,영업/정상(영업중)
메종 드 도산,외국인관광도시민박업,"서울특별시 강남구 언주로164길 15-6, 203호 (신사동)",CDFI2262212026000060,2026-02-09,영업/정상(영업중)
송파스테이,외국인관광도시민박업,"서울특별시 송파구 백제고분로43길 15-1, 지층 B03호 (송파동)",CDFI2262212026000014,2026-02-04,영업/정상(영업중)
스테이 윤슬,외국인관광도시민박업,"서울특별시 성북구 동소문로11길 27-3, 301호 (동소문동4가)",CDFI2262212024000037,2024-12-09,영업/정상(영업중)
호호맨션(HOHO MANSION),외국인관광도시민박업,"서울특별시 송파구 삼학사로8길 24-1, 201호 (석촌동)",CDFI2262212026000001,2026-01-05,영업/정상(영업중)
제이투어스,외국인관광도시민박업,"서울특별시 송파구 거마로9길 4, 리안에스피 403호 (거여동)",CDFI2262212026000005,2026-01-08,영업/정상(영업중)
3베드 레지던스역삼,외국인관광도시민박업,"서울특별시 강남구 역삼로17길 35, 402호 (역삼동, 더클래스)",CDFI2262212026000059,2026-02-09,영업/정상(영업중)
푸푸하우스 응암점,외국인관광도시민박업,"서울특별시 은평구 역말로4길 17, B02호 (역촌동)",CDFI2262212026000008,2026-02-09,영업/정상(영업중)
