업소명,민박업소형태,주소,지방행정데이터인허가번호,지방행정데이터인허가일자,영업상태
리버뷰게스트하우스,외국인관광도시민박업,"서울특별시 마포구 마포대로4길 120-39, 2층 (마포동)",CDFI2262212016000036,2016-06-15,영업/정상(영업중)
홍대 코지 그린하우스,외국인관광도시민박업,서울특별시 마포구 월드컵북로8길 31 (연남동),CDFI2262212023000043,2023-05-04,영업/정상(영업중)
Hongdae Oasis,외국인관광도시민박업,"서울특별시 마포구 신촌로2안길 31, 2층 (동교동)",CDFI2262212021000056,2021-09-17,영업/정상(영업중)
호시간,외국인관광도시민박업,"서울특별시 마포구 망원로2길 82, 2층 (망원동)",CDFI2262212024000106,2024-05-17,영업/정상(영업중)
딸기핑크게스트하우스,외국인관광도시민박업,"서울특별시 마포구 동교로30길 22, 201호 (동교동, 삼성하이빌)",CDFI2262212023000132,2023-09-26,영업/정상(영업중)
카멜리아,외국인관광도시민박업,"서울특별시 마포구 방울내로3길 41-8, 1층 (망원동)",CDFI2262212024000059,2024-04-02,영업/정상(영업중)
심스테이 공덕,외국인관광도시민박업,"서울특별시 마포구 새창로6가길 18, 102호 (도화동)",CDFI2262212024000058,2024-04-02,영업/정상(영업중)
이강게스트하우스,외국인관광도시민박업,"[121-843] 서울특별시 마포구 월드컵북로11길 12, 4층 401호 (성산동)",CDFI2262212014000034,2014-08-26,영업/정상(영업중)
Fave stay,외국인관광도시민박업,"서울특별시 마포구 홍익로6길 46, 4~5층 (동교동)",CDFI2262212023000009,2023-02-01,영업/정상(영업중)
두부,외국인관광도시민박업,"서울특별시 마포구 동교로51안길 22, SJP 4~5층 (연남동)",CDFI2262212022000082,2022-11-29,영업/정상(영업중)
카키하우스,외국인관광도시민박업,"서울특별시 마포구 망원로7길 17-12, 지층 2호 (망원동)",CDFI2262212024000043,2024-03-12,영업/정상(영업중)
이노게스트하우스,외국인관광도시민박업,"[121-210] 서울특별시 마포구 월드컵로8길 37-7, 1층 (서교동)",CDFI2262212014000031,2014-08-26,영업/정상(영업중)
에이블 게스트하우스(Able Guesthouse),외국인관광도시민박업,"[121-836] 서울특별시 마포구 와우산로29마길 7-8, 2,3층 (서교동)",CDFI2262212014000035,2014-08-12,영업/정상(영업중)
스위트룸,외국인관광도시민박업,"서울특별시 마포구 와우산로35길 53, 낙원주택 402호 (서교동)",CDFI2262212022000039,2022-06-16,영업/정상(영업중)
H mansion,외국인관광도시민박업,"서울특별시 마포구 월드컵로20길 66, 102호 (서교동)",CDFI2262212024000042,2024-03-12,영업/정상(영업중)
복합문화공간 봄날,외국인관광도시민박업,서울특별시 마포구 성미산로17길 24 (연남동),CDFI2262212023000140,2023-10-16,영업/정상(영업중)
르컨셉션,외국인관광도시민박업,"서울특별시 마포구 동교로27길 93-9, 401호 (연남동)",CDFI2262212023000052,2023-05-18,영업/정상(영업중)
스테이 정,외국인관광도시민박업,"서울특별시 마포구 월드컵로14길 45-5, 1층 (서교동)",CDFI2262212023000149,2023-10-31,영업/정상(영업중)
단밤스테이,외국인관광도시민박업,"서울특별시 마포구 와우산로22길 54, 2층 301호 (상수동)",CDFI2262212024000093,2024-05-02,영업/정상(영업중)
한스,외국인관광도시민박업,"서울특별시 마포구 동교로27길 93-9, 301호 (연남동)",CDFI2262212023000071,2023-06-15,영업/정상(영업중)
Bliss penthouse2,외국인관광도시민박업,"서울특별시 마포구 와우산로29길 20, 5~6층 (서교동)",CDFI2262212018000069,2018-09-13,영업/정상(영업중)
한강 게스트하우스,외국인관광도시민박업,"[121-050] 서울특별시 마포구 마포대로4길 120-39, 지하1층 (마포동)",CDFI2262212014000053,2014-03-26,영업/정상(영업중)
한강파크 하우스,외국인관광도시민박업,"서울특별시 마포구 희우정로15길 9-8, 1층 (망원동)",CDFI2262212024000023,2024-01-31,영업/정상(영업중)
스테이온 3,외국인관광도시민박업,"서울특별시 마포구 와우산로29길 48-21, 302호 (서교동)",CDFI2262212023000102,2023-08-04,영업/정상(영업중)
코너하우스,외국인관광도시민박업,서울특별시 마포구 성미산로16길 26-11 (성산동),CDFI2262212023000049,2023-05-17,영업/정상(영업중)
어반포레스트,외국인관광도시민박업,"서울특별시 마포구 양화로15안길 22, 서교 로즈빌 1층 (서교동)",CDFI2262212023000077,2023-06-28,영업/정상(영업중)
브리지 스테이 마포,외국인관광도시민박업,"서울특별시 마포구 백범로25길 84, 1층 (염리동)",CDFI2262212023000098,2023-07-26,영업/정상(영업중)
스테이 선선,외국인관광도시민박업,"서울특별시 마포구 망원로7길 44, 3층 (망원동)",CDFI2262212023000101,2023-08-04,영업/정상(영업중)
이레스테이,외국인관광도시민박업,"서울특별시 마포구 신촌로2안길 12, 2층 201호 (동교동)",CDFI2262212023000070,2023-06-13,영업/정상(영업중)
cooKorean Home,외국인관광도시민박업,"서울특별시 마포구 동교로17길 69, 2층 (서교동)",CDFI2262212019000120,2019-10-01,영업/정상(영업중)
헤이마 게스트하우스2,외국인관광도시민박업,"서울특별시 마포구 와우산로29마길 15-7, 2층 (서교동)",CDFI2262212018000085,2018-10-29,영업/정상(영업중)
마포스테이,외국인관광도시민박업,"서울특별시 마포구 새터산9길 19, 201호 (성산동)",CDFI2262212024000069,2024-04-16,영업/정상(영업중)
그루홈스테이,외국인관광도시민박업,"서울특별시 마포구 동교로41길 12, 102호 (연남동)",CDFI2262212024000122,2024-06-04,영업/정상(영업중)
소소당 합정,외국인관광도시민박업,"서울특별시 마포구 동교로8길 46, B101호 (합정동)",CDFI2262212024000207,2024-08-07,영업/정상(영업중)
다정스테이,외국인관광도시민박업,"서울특별시 마포구 독막로22길 1-14, 101호 (창전동)",CDFI2262212024000123,2024-06-04,영업/정상(영업중)
딸기핑크게스트하우스,외국인관광도시민박업,"서울특별시 마포구 동교로30길 22, 201호 (동교동, 삼성하이빌)",CDFI2262212015000029,2015-10-26,영업/정상(영업중)
빌라드소앙,외국인관광도시민박업,"서울특별시 마포구 독막로4길 7, 희고빌딩 402호 (합정동)",CDFI2262212023000121,2023-09-05,영업/정상(영업중)
스테이우아,외국인관광도시민박업,"서울특별시 마포구 성미산로22길 27, 102호 (연남동)",CDFI2262212023000108,2023-08-16,영업/정상(영업중)
모던하우스,외국인관광도시민박업,"서울특별시 마포구 토정로 12-7, 4층 (합정동)",CDFI2262212023000122,2023-09-06,영업/정상(영업중)
스프링 라이트 게스트 하우스,외국인관광도시민박업,"서울특별시 마포구 와우산로14길 18, 3층 401호 (상수동)",CDFI2262212019000064,2019-06-24,영업/정상(영업중)
무드하우스 2호점,외국인관광도시민박업,"서울특별시 마포구 와우산로10길 40, 2층 201호 (상수동)",CDFI2262212023000074,2023-06-21,영업/정상(영업중)
Maru Stay,외국인관광도시민박업,"서울특별시 마포구 동교로27길 83, 302호 (연남동)",CDFI2262212023000119,2023-09-05,영업/정상(영업중)
유월애,외국인관광도시민박업,"서울특별시 마포구 잔다리로 30-10, B102호 (서교동)",CDFI2262212024000136,2024-06-17,영업/정상(영업중)
드래곤 하우스,외국인관광도시민박업,"서울특별시 마포구 동교로27길 27-9, 201호 (동교동)",CDFI2262212023000058,2023-05-31,영업/정상(영업중)
스테이 포그,외국인관광도시민박업,"서울특별시 마포구 성미산로29길 35-13, 2층 (연남동)",CDFI2262212023000210,2023-12-28,영업/정상(영업중)
SeeU House,외국인관광도시민박업,"서울특별시 마포구 월드컵북로6길 81-12, 101호 (연남동)",CDFI2262212019000119,2019-10-01,영업/정상(영업중)
JUST MANSION 1,외국인관광도시민박업,"서울특별시 마포구 동교로38길 33, 지빌딩 401호 (연남동)",CDFI2262212020000071,2020-09-22,영업/정상(영업중)
미호재 세번째,외국인관광도시민박업,"서울특별시 마포구 동교로25길 9, 지하1층 102호 (동교동)",CDFI2262212023000044,2023-05-04,영업/정상(영업중)
위자드 하우스,외국인관광도시민박업,"서울특별시 마포구 월드컵북로8길 33, 102호 (연남동)",CDFI2262212019000044,2019-05-23,영업/정상(영업중)
K-WAVE 게스트하우스,외국인관광도시민박업,"서울특별시 마포구 독막로8길 12, 합정동빌딩 6층 (합정동)",CDFI2262212024000232,2024-08-21,영업/정상(영업중)
앨리스하우스,외국인관광도시민박업,"서울특별시 마포구 성미산로22길 38, 1층 (연남동)",CDFI2262212022000063,2022-09-27,영업/정상(영업중)
봉봉하우스,외국인관광도시민박업,"서울특별시 마포구 성미산로 154, 401호 (연남동)",CDFI2262212022000029,2022-04-19,영업/정상(영업중)
케이글로벌,외국인관광도시민박업,"서울특별시 마포구 연남로 61-10, 2층 (연남동)",CDFI2262212022000071,2022-10-18,영업/정상(영업중)
스테이 온,외국인관광도시민박업,"서울특별시 마포구 와우산로29길 48-21, 4층 401호 (서교동)",CDFI2262212022000055,2022-09-07,영업/정상(영업중)
노고산스테이,외국인관광도시민박업,서울특별시 마포구 신촌로22길 15-6 (노고산동),CDFI2262212022000028,2022-04-18,영업/정상(영업중)
Via Stay,외국인관광도시민박업,"서울특별시 마포구 월드컵북로48길 31, 202호 (상암동)",CDFI2262212018000104,2018-11-27,영업/정상(영업중)
라라랜드,외국인관광도시민박업,"서울특별시 마포구 동교로27길 27-10, 202호 (동교동)",CDFI2262212022000061,2022-09-20,영업/정상(영업중)
JUST MANSION 3,외국인관광도시민박업,"서울특별시 마포구 동교로38길 33, 지빌딩 302호 (연남동)",CDFI2262212020000073,2020-09-22,영업/정상(영업중)
호핑하우스,외국인관광도시민박업,"서울특별시 마포구 성미산로26길 14, 1~2층 (연남동)",CDFI2262212024000002,2024-01-03,영업/정상(영업중)
집토스 게스트하우스,외국인관광도시민박업,"서울특별시 마포구 성미산로13길 38, 상상주택 (성산동)",CDFI2262212024000138,2024-06-17,영업/정상(영업중)
JUST MANSION 2,외국인관광도시민박업,"서울특별시 마포구 동교로38길 33, 지빌딩 301호 (연남동)",CDFI2262212020000072,2020-09-22,영업/정상(영업중)
LaLa House,외국인관광도시민박업,"[121-836] 서울특별시 마포구 와우산로29마길 5, 3층 (서교동)",CDFI2262212014000065,2014-01-09,영업/정상(영업중)
어반 오아시스,외국인관광도시민박업,"서울특별시 마포구 와우산로29라길 7, 401호 (서교동)",CDFI2262212020000069,2020-09-07,영업/정상(영업중)
LK,외국인관광도시민박업,"서울특별시 마포구 어울마당로 144-3, 202호 (서교동)",CDFI2262212021000066,2021-11-30,영업/정상(영업중)
H. house,외국인관광도시민박업,"서울특별시 마포구 와우산로29나길 14-4, 지층 102호 (서교동)",CDFI2262212024000001,2024-01-03,영업/정상(영업중)
디자인그램,외국인관광도시민박업,"서울특별시 마포구 홍익로 13-9, 이층201호 (서교동, 동덕빌라)",CDFI2262212020000065,2020-08-11,영업/정상(영업중)
Janet's House,외국인관광도시민박업,"서울특별시 마포구 월드컵북로42나길 12, 2층 (상암동)",CDFI2262212015000028,2015-10-29,영업/정상(영업중)
스윗 멜로디,외국인관광도시민박업,"서울특별시 마포구 동교로34길 16, 3층 (연남동)",CDFI2262212021000059,2021-10-20,영업/정상(영업중)
테디스,외국인관광도시민박업,"서울특별시 마포구 대흥로18길 7, 2층 (대흥동)",CDFI2262212024000120,2024-06-04,영업/정상(영업중)
레드판다하우스,외국인관광도시민박업,"서울특별시 마포구 서강로9길 44, 2층 (창전동)",CDFI2262212020000076,2020-10-08,영업/정상(영업중)
서울맨션,외국인관광도시민박업,"서울특별시 마포구 양화로23길 4-21, 1층 (동교동)",CDFI2262212014000062,2014-01-16,영업/정상(영업중)
Ho's stay,외국인관광도시민박업,"서울특별시 마포구 월드컵로14길 62, 601호 (서교동)",CDFI2262212023000200,2023-12-20,영업/정상(영업중)
다다하우스,외국인관광도시민박업,"서울특별시 마포구 와우산로35길 17, 101호 (서교동, 각산타운)",CDFI2262212018000106,2018-12-07,영업/정상(영업중)
홍하우스,외국인관광도시민박업,"서울특별시 마포구 와우산로29라길 12, 2층 (서교동)",CDFI2262212020000057,2020-06-30,영업/정상(영업중)
형석하우스,외국인관광도시민박업,"서울특별시 마포구 연희로1길 55-2, 1층 (연남동)",CDFI2262212020000064,2020-08-11,영업/정상(영업중)
연남베통브루트,외국인관광도시민박업,"서울특별시 마포구 성미산로29안길 19-7, 302호 (연남동)",CDFI2262212018000087,2018-10-29,영업/정상(영업중)
하우스 홍시,외국인관광도시민박업,"서울특별시 마포구 동교로27길 44-11, 1층 (연남동)",CDFI2262212017000073,2017-08-17,영업/정상(영업중)
스테이 순,외국인관광도시민박업,서울특별시 마포구 성미산로7길 13-7 (성산동),CDFI2262212023000105,2023-08-10,영업/정상(영업중)
DW Design Residence 3,외국인관광도시민박업,"서울특별시 마포구 동교로25길 35, 1,2층 (동교동)",CDFI2262212015000010,2015-12-29,영업/정상(영업중)
모노크롬하우스(아지트룸),외국인관광도시민박업,"서울특별시 마포구 성미산로 199, 302호 (연남동)",CDFI2262212021000007,2021-01-15,영업/정상(영업중)
라라 게스트하우스,외국인관광도시민박업,"서울특별시 마포구 독막로9길 37-4, 1~2층 (서교동)",CDFI2262212022000058,2022-09-19,영업/정상(영업중)
스타일 레지던스,외국인관광도시민박업,"서울특별시 마포구 와우산로29나길 24-3, 203호 (서교동)",CDFI2262212023000169,2023-11-17,영업/정상(영업중)
미스홍대 게스트하우스1,외국인관광도시민박업,"서울특별시 마포구 홍익로 3-28, 201호 (서교동)",CDFI2262212017000068,2017-07-29,영업/정상(영업중)
