업소명,민박업소형태,주소,지번주소,지방행정데이터인허가번호,지방행정데이터인허가일자,영업상태,latitude,longitude,coord_duplicate_count
10 Guesthouse,외국인관광도시민박업,"[121812] 서울특별시 마포구 새창로 28, 2층 (도화동)",서울 마포구 도화동 4-39,CDFI3261142015000036,2015-05-15,영업/정상(영업중),37.5416685555594,126.952942127837,2
코니하우스,외국인관광도시민박업,"[100400] 서울특별시 중구 퇴계로52길 5-3, 1~2층 (쌍림동)",서울 중구 쌍림동 151-52,CDFI3261142015000013,2015-05-22,영업/정상(영업중),37.5631008057897,127.004009802706,2
게스트하우스 더 김스(Guesthouse The Kims(,외국인관광도시민박업,[110816] 서울특별시 종로구 백석동1길 13 (부암동),서울 종로구 부암동 35,CDFI3261142015000005,2015-05-28,영업/정상(영업중),37.5951368835904,126.968705787731,2
제이에스하우스 1,외국인관광도시민박업,"[122882] 서울특별시 은평구 증산로 439-3, 201호 (신사동)",서울 은평구 신사동 34-4,CDFI3261142015000003,2015-06-03,영업/정상(영업중),37.5954153932439,126.914228075153,3
하우스테이 2호점,외국인관광도시민박업,[121818] 서울특별시 마포구 양화로18안길 28-6 (동교동),서울 마포구 동교동 170-22,CDFI3261142015000043,2015-05-21,영업/정상(영업중),37.5568048110435,126.926364347493,2
마마 게스트하우스2,외국인관광도시민박업,"[100250] 서울특별시 중구 소파로4길 34-1, 지층 (예장동)",서울 중구 예장동 8-44,CDFI3261142015000012,2015-05-14,영업/정상(영업중),37.5584912531586,126.98838352712,4
제이스토리 게스트하우스,외국인관광도시민박업,"[100858] 서울특별시 중구 중림로9길 6, 1~3층 (중림동)",서울 중구 중림동 132-1,CDFI3261142015000014,2015-05-28,영업/정상(영업중),37.5579196774378,126.967991479912,2
Hongdae 3 room house,외국인관광도시민박업,"[121837] 서울특별시 마포구 홍익로2길 27-20, 2층 (서교동)",서울 마포구 서교동 346-16,CDFI3261142015000050,2015-06-11,영업/정상(영업중),37.5554592653417,126.924374612704,2
Photo Park(포토박),외국인관광도시민박업,[140833] 서울특별시 용산구 신흥로27길 6-5 (용산동2가),서울 용산구 용산동2가 1-1351,CDFI3261142015000014,2015-05-22,영업/정상(영업중),37.5441156565647,126.982004539,2
행당역홈스테이,외국인관광도시민박업,"[133777] 서울특별시 성동구 행당로 82, 121동 1802호 (행당동, 행당한진타운)",서울 성동구 행당동 346,CDFI3261142015000001,2015-06-10,영업/정상(영업중),37.5548088817349,127.027399715208,2
케이 플러스 와이,외국인관광도시민박업,"[121836] 서울특별시 마포구 와우산로35길 17, 402호 (서교동, 각산타운)",서울 마포구 서교동 326-1,CDFI3261142015000049,2015-06-11,영업/정상(영업중),37.5557496406848,126.929593668212,3
Br. house,외국인관광도시민박업,"[121836] 서울특별시 마포구 와우산로29다길 7, 2~3층 (서교동)",서울 마포구 서교동 335-26,CDFI3261142015000018,2015-03-16,영업/정상(영업중),37.5550813346214,126.9278913861,2
VERDI GUESTHOUSE,외국인관광도시민박업,[130875] 서울특별시 동대문구 휘경로 61-5 (휘경동),서울 동대문구 휘경동 148-63,CDFI3261142015000002,2015-02-11,영업/정상(영업중),37.5945412715637,127.06662013329,2
88하우스 용산,외국인관광도시민박업,"[140100] 서울특별시 용산구 백범로90다길 12, 202동 3202호 (문배동, 용산CJ나인파크)",서울 용산구 문배동 24-6,CDFI3261142015000008,2015-03-12,영업/정상(영업중),37.5363523414327,126.969212704338,2
지호하우스,외국인관광도시민박업,"[151704] 서울특별시 관악구 호암로 399, 302동 102호 (신림동, 삼성산주공아파트)",서울 관악구 신림동 1714,CDFI3261142015000003,2015-02-11,영업/정상(영업중),37.4613714617228,126.925454992929,3
제이에스하우스 2,외국인관광도시민박업,"[122882] 서울특별시 은평구 증산로 439-3, 202호 (신사동)",서울 은평구 신사동 34-4,CDFI3261142015000002,2015-06-03,영업/정상(영업중),37.5954153932439,126.914228075153,3
강남스테이힐(Gangnam Stay Hill),외국인관광도시민박업,"[135908] 서울특별시 강남구 테헤란로13길 65, 1,2층 (역삼동)",서울 강남구 역삼동 623-22,CDFI3261142015000008,2015-02-11,영업/정상(영업중),37.5034502245401,127.030120770641,2
Carol's Home,외국인관광도시민박업,"서울특별시 관악구 성현로 80, 135동 701호 (봉천동, 관악드림타운아파트)",서울 관악구 봉천동 1712,CDFI3261142015000004,2015-02-26,영업/정상(영업중),37.4898474387668,126.952985510916,6
88하우스 홍대,외국인관광도시민박업,"[121840] 서울특별시 마포구 독막로3길 28-12, B01호 (서교동)",서울 마포구 서교동 396-14,CDFI3261142015000011,2015-02-25,영업/정상(영업중),37.5494934663206,126.917738686663,2
하우스 인 서울,외국인관광도시민박업,"[121836] 서울특별시 마포구 와우산로29바길 5-3, 2층 (서교동)",서울 마포구 서교동 332-23,CDFI3261142015000013,2015-03-03,영업/정상(영업중),37.5559961495616,126.926482617996,2
FUNFUN GUESTHOUSE(펀펀 게스트하우스),외국인관광도시민박업,[140809] 서울특별시 용산구 장문로6길 81-1 (동빙고동),서울 용산구 동빙고동 1-58,CDFI3261142015000006,2015-02-17,영업/정상(영업중),37.5263911082618,126.995610803639,2
트리앙겔,외국인관광도시민박업,"[121818] 서울특별시 마포구 신촌로8길 18, 2층 201호 (동교동)",서울 마포구 동교동 181-2,CDFI3261142015000014,2015-03-03,영업/정상(영업중),37.5563904800598,126.930438141243,2
리안 게스트하우스,외국인관광도시민박업,"[121836] 서울특별시 마포구 어울마당로 144, 4층 (서교동)",서울 마포구 서교동 331-18,CDFI3261142015000051,2015-06-11,영업/정상(영업중),37.5562013624141,126.92585135552,2
초이스,외국인관광도시민박업,"[137073] 서울특별시 서초구 반포대로21길 67, 501동 406호 (서초동)",서울 서초구 서초동 1522-1,CDFI3261142015000006,2015-06-30,영업/정상(영업중),37.4857895614081,127.007868868136,2
공덕정,외국인관광도시민박업,"[121812] 서울특별시 마포구 새창로 28, 3층 (도화동)",서울 마포구 도화동 4-39,CDFI3261142015000056,2015-07-06,영업/정상(영업중),37.5416685555594,126.952942127837,2
마이리틀 게스트하우스,외국인관광도시민박업,[121869] 서울특별시 마포구 연남로5길 30-9 (연남동),서울 마포구 연남동 504-19,CDFI3261142015000052,2015-06-18,영업/정상(영업중),37.5618069475043,126.919968096607,6
오케이 게스트하우스,외국인관광도시민박업,[156020] 서울특별시 동작구 알마타길 21-18 (대방동),서울 동작구 대방동 349-5,CDFI3261142015000004,2015-07-27,영업/정상(영업중),37.5115667304961,126.927813488985,2
미소 게스트하우스 2,외국인관광도시민박업,"[121818] 서울특별시 마포구 신촌로2안길 6, 202호 (동교동)",서울 마포구 동교동 176-14,CDFI3261142015000053,2015-07-01,영업/정상(영업중),37.5575246597945,126.927451151903,3
나누 게스트하우스 핑크,외국인관광도시민박업,"[121816] 서울특별시 마포구 양화로23길 4-7, 101호 (동교동)",서울 마포구 동교동 147-40,CDFI3261142015000054,2015-07-01,영업/정상(영업중),37.559011869767,126.925751010476,4
이화 게스트하우스,외국인관광도시민박업,"[121818] 서울특별시 마포구 와우산로37길 38, 302호 (동교동)",서울 마포구 동교동 177-19,CDFI3261142015000055,2015-07-03,영업/정상(영업중),37.5566768699791,126.929013338828,5
도심단체숙소,외국인관광도시민박업,"[133070] 서울특별시 성동구 행당로 82, 121동 19층 1903호 (행당동, 행당한진타운)",서울 성동구 행당동 346,CDFI3261142015000002,2015-07-28,영업/정상(영업중),37.5548088817349,127.027399715208,2
필스테이이화부띠끄,외국인관광도시민박업,"[120170] 서울특별시 서대문구 이화여대길 43, 4층 (대현동)",서울 서대문구 대현동 56-126,CDFI3261142015000013,2015-06-26,영업/정상(영업중),37.558825763768,126.945487253231,2
Seven Stay,외국인관광도시민박업,"[130021] 서울특별시 동대문구 사가정로 65, 103동 1005호 (전농동, 래미안크레시티)",서울 동대문구 전농동 690,CDFI3261142015000005,2015-07-28,영업/정상(영업중),37.5755060418781,127.049695860484,2
낙원(PARADISE) 게스트하우스,외국인관광도시민박업,"[100391] 서울특별시 중구 장충단로8길 45-4, 1~2층 (장충동1가, (201호 제외))",서울 중구 장충동1가 38-65,CDFI3261142015000015,2015-07-14,영업/정상(영업중),37.562338183738,127.00918112881,3
Jangan hills Home stay,외국인관광도시민박업,"[130728] 서울특별시 동대문구 장안벚꽃로1길 7, 1009동 601호 (장안동, 장안힐스테이트아파트)",서울 동대문구 장안동 329-2,CDFI3261142015000004,2015-07-21,영업/정상(영업중),37.5763379008361,127.074572635161,3
Super 7,외국인관광도시민박업,"[121869] 서울특별시 마포구 동교로23길 61, 5층 (연남동)",서울 마포구 연남동 571-8,CDFI3261142015000060,2015-07-24,영업/정상(영업중),37.5583463191277,126.918794976197,2
