번호,업소명,업체 주소,건물 지번주소,월세 카운트,전세 카운트
49,더밤스테이 강남,"서울특별시 강남구 강남대로94길 51-4, 401호 (역삼동)",서울 강남구 역삼동 636-24,3,0
50,웰컴서울,"서울특별시 강남구 논현로114길 8, 401호 (논현동)",서울 강남구 논현동 234-1,2,0
51,스테이 수,"서울특별시 강남구 언주로93길 22-2, 401호 (역삼동)",서울 강남구 역삼동 673-35,1,0
52,Dana Stay,"서울특별시 강서구 화곡로35길 23-44, 101호 (화곡동, 강서미리네)",서울 강서구 화곡동 111-141,3,0
53,가온재,"서울특별시 강남구 역삼로67길 15, 6층 (대치동, 케희빌딩)",서울 강남구 대치동 900-16,1,0
54,신림역별빛거리 하우스,"서울특별시 관악구 신림동1길 20-6, A동 902호 (신림동)",서울 관악구 신림동 1432-178,3,0
55,부자,"서울특별시 노원구 덕릉로90길 5, 703호 (중계동, 중계쉐르빌)",서울 노원구 중계동 134-2,1,0
56,알레드반포,"서울특별시 서초구 주흥길 47, B01호 (반포동)",서울 서초구 반포동 716-25,1,0
57,조로하우스,"서울특별시 관악구 신림동1길 20-6, 제에이동 1002호 (신림동)",서울 관악구 신림동 1432-178,3,0
58,Nuaz11,"서울특별시 관악구 신림동1길 20-6, 도라샘타워 제에이동 제9,10,11층 제다가구주택호 11층 1102호 (신림동)",서울 관악구 신림동 1432-178,3,0
59,박씨집안,"서울특별시 노원구 덕릉로90길 5, 402호 (중계동, 중계쉐르빌)",서울 노원구 중계동 134-2,1,0
60,중구 마루,"서울특별시 중구 동호로25가길 21-2, 101호 (장충동2가, 우원빌라)",서울 중구 장충동2가 193-120,1,0
61,원더 서울,"서울특별시 중랑구 봉우재로71길 73-5, 201호 (망우동)",서울 중랑구 망우동 512-28,1,0
62,다올(DAOL STAY),"서울특별시 관악구 신림로66길 41, 802호 (신림동)",서울 관악구 신림동 1420-6,4,0
63,슈퍼스타 Superstar,"서울특별시 관악구 인헌12나길 7, 301호 (봉천동, 하나빌라)",서울 관악구 봉천동 180-75,2,0
64,Dear You Stay,"서울특별시 마포구 월드컵북로12길 82, 2층 202호 (성산동)",서울 마포구 성산동 21-16,1,0
65,Elaine's healing stay,"서울특별시 관악구 남부순환로161나길 48, b02호 (신림동)",서울 관악구 신림동 467-21,1,0
66,스테이리움,"서울특별시 관악구 남부순환로164길 46, 302호 (신림동, 휴스테이)",서울 관악구 신림동 440-61,2,0
67,성수하임,"서울특별시 성동구 연무장1길 8-13, 지하층 101호 (성수동2가)",서울 성동구 성수동2가 301-27,0,1
68,달래하우스,"서울특별시 성동구 연무장1길 12, 2층 201호 (성수동2가)",서울 성동구 성수동2가 301-27,0,1
69,서울 타이완 게스트하우스2,"서울특별시 중구 퇴계로10길 20-14, 전층 (회현동1가)",서울 중구 회현동1가 88-3,0,1
70,Wooseung Stay,"서울특별시 성동구 연무장1길 8-13, 지하1층 102호 (성수동2가)",서울 성동구 성수동2가 301-27,0,1
71,그린 올리브 스테이,"서울특별시 마포구 월드컵북로12길 82, 2층 201호 (성산동)",서울 마포구 성산동 21-16,1,0
72,창범하우스,"서울특별시 강남구 언주로138길 18, 302호 (논현동)",서울 강남구 논현동 107-27,2,0
73,비스타스테이,"서울특별시 마포구 월드컵북로8길 37, 5층 501호 (연남동, 골든빌)",서울 마포구 연남동 487-127,1,0
74,레이크 게스트하우스,서울특별시 송파구 삼학사로14길 24-1 (석촌동),서울 송파구 석촌동 16-7,1,0
75,휴 하우스 (Hue house),서울특별시 구로구 경인로47길 44-12 (고척동),서울 구로구 고척동 52-212,1,0
76,휴플랜 게스트하우스,"서울특별시 도봉구 우이천로22길 16-13, 702호 (창동, The H 2차)",서울 도봉구 창동 635-31,0,1
77,모노홈2,"서울특별시 마포구 와우산로24길 17, 303호 (창전동)",서울 마포구 창전동 436-1,1,0
78,K1 HOUSE,"서울특별시 마포구 동교로50길 30, 104호 (연남동, 화랑빌라)",서울 마포구 연남동 226-33,1,0
79,서울 타이완 게스트하우스,서울특별시 중구 퇴계로10길 20-14 (회현동1가),서울 중구 회현동1가 88-3,0,1
80,연남동 해피하우스,"서울특별시 마포구 동교로50길 30, 103호 (연남동, 화랑빌라)",서울 마포구 연남동 226-33,1,0
81,은율하우스,"서울특별시 강서구 까치산로22길 21-1, 은율하우스 203호 (화곡동)",서울 강서구 화곡동 958-3,1,0
82,더 존 스테이,"서울특별시 강동구 진황도로27가길 6-7, 13층 1303호 (천호동)",서울 강동구 천호동 166-71,2,0
83,홍스 하우스,"서울특별시 마포구 독막로19길 35, B01호 (상수동)",서울 마포구 상수동 93-25,1,0
84,경리단집,서울특별시 용산구 회나무로28길 27 (이태원동),서울 용산구 이태원동 210-23,1,0
